Company,Report_File,Sentence,Predicted_Label,Raw_Score,Sentiment,Risk_Score
UNILEVER,UNILEVER.pdf,"Business Responsibility and Sustainability Report BUSINESS RESPONSIBILITY AND SUSTAINABILITY REPORT Our Online Business Responsibility and Sustainability Report - financial year 2024-25 Dear Stakeholders, I am pleased to share our Business Responsibility and Sustainability Report (BRSR) for the financial year 2024-25.",Social,0.9313149452209472,Neutral,0.1862629890441894
UNILEVER,UNILEVER.pdf,This report aims to update you of our sustainability performance driven by our efforts to create a positive impact on the environment and society.,Social,0.5998226404190063,Neutral,0.1199645280838012
UNILEVER,UNILEVER.pdf,"Sustainability Embedded In Our Strategy Our new strategy, ‘ASPIRE: Unlocking a Billion Aspirations’, aims to unlock growth for the business and is underlined by the key pillar of sustainability.",Social,0.8853371739387512,Neutral,0.1770674347877502
UNILEVER,UNILEVER.pdf,We have been driving an ambitious sustainability agenda for decades.,Social,0.9628245830535888,Neutral,0.1925649166107177
UNILEVER,UNILEVER.pdf,"Yet, in the face of ever-growing economic, environmental, and social challenges, we are evolving our approach.",Environmental,0.8392637372016907,Neutral,0.1678527474403381
UNILEVER,UNILEVER.pdf,Now is the time to focus on delivering impact by making sustainability progress integral to business performance.,Social,0.881226122379303,Neutral,0.1762452244758606
UNILEVER,UNILEVER.pdf,"We will continue to focus on four sustainability priorities – Climate, Nature, Plastics, and Livelihoods.",Environmental,0.928523600101471,Neutral,0.1857047200202942
UNILEVER,UNILEVER.pdf,We will be scaling our proven models across these pillars to create a larger impact.,Environmental,0.9055092930793762,Neutral,0.1811018586158752
UNILEVER,UNILEVER.pdf,We truly believe that embracing sustainability is the only way for businesses to remain relevant in the future.,Social,0.9184530973434448,Neutral,0.1836906194686889
UNILEVER,UNILEVER.pdf,"Accelerating ESG Leadership At HUL, we have made significant progress against our ESG (Environmental, Social, and Governance) Goals.",Environmental,0.9597435593605042,Neutral,0.1919487118721008
UNILEVER,UNILEVER.pdf,"In Rohit Jawa our manufacturing operations, we have reduced our CO 2 emissions by 99% (per tonne of production), water usage Chief Executive Officer and by 50% (cubic meter per tonne of production), and total waste generated from our factories by 62% (per tonne Managing Director of production) in financial year 2024-25 compared to the 2008 baseline.",Environmental,0.992004930973053,Positive,-0.4960024654865265
UNILEVER,UNILEVER.pdf,"Suvidha, our pioneering model of urban hygiene and We are targeting net zero emissions across Scope 1, 2, and sanitation centre today serves 5,00,000 people in Mumbai.",Environmental,0.9824840426445008,Neutral,0.1964968085289001
UNILEVER,UNILEVER.pdf,"While we are well placed to deliver on Scope 1 & Our first centre was set up in a slum in Mumbai in 2016 in 2 emissions, we are relentlessly working on achieving our partnership with the BMC to serve 2,000 people annually.",Environmental,0.6759321689605713,Neutral,0.1351864337921142
UNILEVER,UNILEVER.pdf,commitment on Scope 3 by 2039.,,0.9362656474113464,Neutral,0.1872531294822693
UNILEVER,UNILEVER.pdf,This includes working We have now scaled it up to 20 centres across Mumbai closely with our biggest suppliers across all our categories.,Social,0.9698283672332764,Neutral,0.1939656734466552
UNILEVER,UNILEVER.pdf,"in partnership with the government, HSBC India, and As a founding member of the Resource Efficiency and JSW Foundation.",Social,0.96977961063385,Neutral,0.19395592212677
UNILEVER,UNILEVER.pdf,"We have also signed a Memorandum Circular Economy Industry Coalition (RECEIC), we aim to of Understanding (MoU) with Ministry of Housing & meet Net Zero commitments by addressing the use of Urban Affairs (MoHUA) to provide innovation & design sustainable raw materials through industry-wide action expertise to build climate – resilient sanitation models and government support.",Environmental,0.7945548892021179,Positive,-0.3972774446010589
UNILEVER,UNILEVER.pdf,"Doing Well By Doing Good Not just the environment, but we have also been working towards creating a positive social impact.",Social,0.9044866561889648,Neutral,0.1808973312377929
UNILEVER,UNILEVER.pdf,"Project Shakti, On our journey towards building plastic circularity through launched at the dawn of the new millennium with the our Program ‘Project Circular Bharat’ we have developed vision of empowering women in rural areas, has been a a decentralised financially viable model that works in resounding success.",Social,0.9806225299835204,Neutral,0.1961245059967041
UNILEVER,UNILEVER.pdf,"It has been 11 years since we started the areas of Behaviour change, Social inclusion of waste ‘Prabhat’, our sustainable community development workers, and Infrastructure development.",Environmental,0.5481879115104675,Positive,-0.2740939557552337
UNILEVER,UNILEVER.pdf,"We partner with initiative aimed at improving livelihoods, health, and multiple government bodies, other corporates such as SBI nutrition as well as protecting the environment.",Environmental,0.5231194496154785,Neutral,0.1046238899230957
UNILEVER,UNILEVER.pdf,"Since its Foundation, and organisations such as UNDP and Xynteo inception, Prabhat has positively benefitted 11 million on our plastic initiatives.",Social,0.8166148066520691,Neutral,0.1633229613304138
UNILEVER,UNILEVER.pdf,Last year we launched ‘Project lives across 12 states and 2 union territories.,Social,0.9889616370201112,Neutral,0.1977923274040222
UNILEVER,UNILEVER.pdf,"Circular India Toolkit’, a first-of-its-kind awareness-to- Building For The Future action toolkit which will help replicate the change across the ecosystem along with the Ministry of Environment, Sustainability has always been ingrained in the way we Forests, & Climate Change (MoEFCC).",Environmental,0.977380096912384,Neutral,0.1954760193824768
UNILEVER,UNILEVER.pdf,do our business and not just a separate initiative.,Social,0.7504125237464905,Neutral,0.1500825047492981
UNILEVER,UNILEVER.pdf,"This is To play our part in securing the future of water we continue because we truly believe that sustainable practices can to build water conservation potential and enhance water- drive innovation, reduce costs, enhance brand reputation, dependent livelihoods through the Hindustan Unilever and create long-term value for shareholders.",Environmental,0.965817928314209,Positive,-0.4829089641571045
UNILEVER,UNILEVER.pdf,Foundation and its partners.,Social,0.6157503128051758,Neutral,0.1231500625610351
UNILEVER,UNILEVER.pdf,"Since 2010, we have enabled We have come a long way in our sustainability journey and creation of a cumulative water conservation potential of going forward we will require bold and decisive leadership over 3.9 trillion litres.",Environmental,0.9634163975715636,Neutral,0.1926832795143127
UNILEVER,UNILEVER.pdf,to make a meaningful difference.,,0.9860708117485046,Neutral,0.1972141623497009
UNILEVER,UNILEVER.pdf,"INTEGRATED REPORT 2024-25 01 Business Responsibility and Sustainability Report Executive Summary At Hindustan Unilever Limited (HUL), our Business Our ESG Committee, constituted in 2022, oversees ESG Responsibility & Sustainability Report adheres to the strategy and performance, ensuring alignment with the nine principles of the SEBI framework on sustainability company’s purpose and progress towards the ESG Goals.",Social,0.5755219459533691,Positive,-0.2877609729766845
UNILEVER,UNILEVER.pdf,"reporting, informing stakeholders of our sustainability We are evolving our approach to make sustainability endeavours.",Social,0.880711019039154,Neutral,0.1761422038078308
UNILEVER,UNILEVER.pdf,"HUL is dedicated to sustainable growth progress integral to business performance, focusing by providing products that meet consumer needs while on delivering impact.",Social,0.9583022594451904,Positive,-0.4791511297225952
UNILEVER,UNILEVER.pdf,Our continued focus will be on minimising environmental impact.,Environmental,0.989909291267395,Neutral,0.197981858253479
UNILEVER,UNILEVER.pdf,"four sustainability priorities: Climate, Nature, Plastics, and Livelihoods.",Environmental,0.9277642965316772,Neutral,0.1855528593063354
